Period,Inflation (Can),Inflation (US),GDP (B$),Empl.Per. (M),CPI (Can),CPI (US),CC (Can),PC Util (Can),PC Util (US),Bus Conf (Can),Bus Conf (US),TSX,Retail YoY%,M3 T$,Gov Sp M$,EI (000s),Disp.Inc. M$,Consum.Cr. M$,Exports M$,Tourist Arr. (Persons)
2013-01-01,0.5,1.6,1729.586,17.508,121.3,231.679,53.9,80.4,76.7,-0.91,3.28,12572.0,1.4,1.601576,127154.0,539050.0,343000.0,605665.0,38594.1,1215381.0
2013-01-02,0.5225806451612903,1.6129032258064517,1729.7543548387098,17.509477419354837,121.34516129032258,231.7195806451613,53.95161290322581,80.40967741935485,76.70967741935485,-0.9187096774193548,3.2774193548387096,12577.451612903225,1.429032258064516,1.6020492580645163,127149.45161290323,538869.3548387097,343077.8387096774,605801.7741935484,38623.03870967742,1215621.4838709678
2013-01-03,0.5451612903225806,1.6258064516129034,1729.9227096774193,17.510954838709676,121.39032258064516,231.76016129032257,54.00322580645161,80.41935483870968,76.71935483870968,-0.9274193548387097,3.274838709677419,12582.90322580645,1.4580645161290322,1.6025225161290324,127144.90322580645,538688.7096774194,343155.67741935485,605938.5483870967,38651.97741935484,1215861.9677419355
2013-01-04,0.567741935483871,1.6387096774193548,1730.091064516129,17.512432258064514,121.43548387096774,231.80074193548387,54.05483870967742,80.42903225806452,76.72903225806452,-0.9361290322580645,3.2722580645161288,12588.354838709678,1.4870967741935484,1.6029957741935486,127140.35483870968,538508.0645161291,343233.51612903224,606075.3225806452,38680.91612903226,1216102.4516129033
2013-01-05,0.5903225806451613,1.6516129032258065,1730.2594193548387,17.513909677419353,121.48064516129033,231.84132258064517,54.10645161290322,80.43870967741935,76.73870967741935,-0.9448387096774193,3.2696774193548386,12593.806451612903,1.5161290322580645,1.6034690322580647,127135.80645161291,538327.4193548387,343311.3548387097,606212.0967741936,38709.854838709674,1216342.935483871
2013-01-06,0.6129032258064516,1.664516129032258,1730.4277741935484,17.51538709677419,121.52580645161291,231.88190322580647,54.15806451612903,80.4483870967742,76.7483870967742,-0.9535483870967743,3.2670967741935484,12599.258064516129,1.5451612903225804,1.6039422903225808,127131.25806451614,538146.7741935484,343389.1935483871,606348.8709677419,38738.7935483871,1216583.4193548388
2013-01-07,0.635483870967742,1.6774193548387097,1730.596129032258,17.516864516129033,121.57096774193548,231.92248387096774,54.20967741935484,80.45806451612904,76.75806451612904,-0.962258064516129,3.2645161290322577,12604.709677419354,1.5741935483870968,1.6044155483870968,127126.70967741935,537966.1290322581,343467.03225806454,606485.6451612903,38767.73225806451,1216823.9032258065
2013-01-08,0.6580645161290323,1.6903225806451614,1730.7644838709678,17.51834193548387,121.61612903225806,231.96306451612904,54.26129032258064,80.46774193548387,76.76774193548387,-0.9709677419354839,3.2619354838709675,12610.161290322581,1.6032258064516127,1.604888806451613,127122.16129032258,537785.4838709678,343544.87096774194,606622.4193548387,38796.670967741935,1217064.3870967743
2013-01-09,0.6806451612903226,1.703225806451613,1730.9328387096775,17.51981935483871,121.66129032258064,232.00364516129034,54.31290322580645,80.47741935483872,76.77741935483871,-0.9796774193548388,3.2593548387096773,12615.612903225807,1.6322580645161289,1.605362064516129,127117.6129032258,537604.8387096775,343622.70967741933,606759.1935483871,38825.60967741935,1217304.8709677418
2013-01-10,0.7032258064516129,1.7161290322580647,1731.101193548387,17.521296774193548,121.70645161290322,232.0442258064516,54.36451612903226,80.48709677419356,76.78709677419356,-0.9883870967741936,3.256774193548387,12621.064516129032,1.661290322580645,1.6058353225806452,127113.06451612903,537424.1935483871,343700.5483870968,606895.9677419355,38854.54838709677,1217545.3548387096
